stamp,pwm,velocity,steering_angle,distance,has_target,target_center_offset,control
1734795491.8798792,nan,0.0,nan,nan,nan,nan,nan
1734795491.9239032,nan,0.0,nan,0.2619744539260864,nan,nan,nan
1734795491.9517407,nan,0.0,nan,0.2619744539260864,nan,nan,nan
1734795491.9753685,nan,0.0,nan,0.2619744539260864,False,nan,nan
1734795492.003526,nan,0.0,nan,0.2619744539260864,False,0,nan
1734795492.004794,nan,0.0,nan,0.2619744539260864,True,0,nan
1734795492.0057733,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.0194392,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.0377493,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.0380955,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.0385125,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.0711503,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.07159,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.072031,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.0893893,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.103942,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1047297,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1054265,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1377392,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1379375,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1393495,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1594663,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1712608,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1716008,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.1724641,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.2043793,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.2048004,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.206334,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.2293952,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.2377222,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.2385128,nan,0.0,570000,0.2619744539260864,True,0,nan
1734795492.2392645,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.2401319,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.2715209,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.2727032,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.2736113,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3000207,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3041434,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3056087,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3065774,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3384917,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3404655,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3408768,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3694239,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3722732,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3724716,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.3728254,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.4045105,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.4056146,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.4061606,nan,0.0,570000,0.2619948983192444,True,0,nan
1734795492.4299297,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.4381902,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.4390523,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.4404683,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.4416544,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.4728115,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.47373,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.4745173,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5059714,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5063634,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.507143,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5093882,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5385334,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5397375,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.540111,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5712473,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5723627,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5736399,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.5793839,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.6046922,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.6061895,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.6066053,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.640262,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.640852,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.6418443,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.649427,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.6721904,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.672779,nan,0.0,570000,0.2620766758918762,True,0,nan
1734795492.6731923,nan,0.0,570000,0.2620766758918762,True,0,nan
